Objects
100
,,Global Angle 111:111,,,,,,Global Angle 222:222,,,,,,Global Angle SIngleMarker:SIngleMarker,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
85,0,2.50151,1.69055,-1.674,-263.167,132.115,715.382,-0.162462,0.318966,-1.3451,-270.61,98.617,828.05,-0.176357,1.58608,0.163991,-206.818,125.163,709.038
86,0,2.4999,1.69281,-1.6736,-263.175,132.103,715.383,-0.159061,0.318942,-1.34483,-270.555,98.5878,827.953,-0.176343,1.58624,0.163734,-206.808,125.135,709.036
87,0,2.49948,1.69195,-1.67401,-263.21,132.098,715.375,-0.162821,0.318584,-1.34519,-270.622,98.6216,828.052,-0.176814,1.58622,0.163652,-206.826,125.109,709.022
88,0,2.49894,1.68907,-1.67635,-263.213,132.105,715.344,-0.159285,0.318849,-1.34502,-270.555,98.5698,827.963,-0.177028,1.58669,0.163774,-206.844,125.107,709.018
89,0,2.5017,1.68958,-1.67577,-263.207,132.134,715.386,-0.159133,0.319382,-1.34507,-270.539,98.5575,827.967,-0.176538,1.58648,0.163864,-206.85,125.123,709.013
90,0,2.50171,1.69297,-1.67379,-263.202,132.163,715.369,-0.162473,0.319626,-1.34521,-270.586,98.5773,828.053,-0.176286,1.58668,0.164129,-206.858,125.148,709.006
91,0,2.59294,1.69272,-1.53987,-262.677,133.549,714.596,-0.162438,0.319791,-1.34531,-270.572,98.5728,828.041,-0.176331,1.58684,0.164362,-206.868,125.168,708.994
92,0,2.59237,1.69239,-1.54044,-262.649,133.536,714.628,-0.158709,0.319731,-1.34499,-270.503,98.5405,827.962,-0.176039,1.58702,0.164406,-206.836,125.168,709.015
93,0,2.59244,1.69251,-1.53999,-262.605,133.522,714.63,-0.158663,0.319651,-1.34495,-270.495,98.5519,827.966,-0.176391,1.58674,0.164202,-206.792,125.169,709.035
94,0,2.5035,1.69224,-1.6729,-263.096,132.126,715.389,-0.162166,0.318893,-1.34528,-270.549,98.602,828.051,-0.176606,1.58615,0.164094,-206.745,125.15,709.047
95,0,2.50403,1.69212,-1.67239,-263.043,132.119,715.392,-0.162157,0.318395,-1.3454,-270.537,98.6094,828.048,-0.176919,1.58595,0.163853,-206.701,125.131,709.061
96,0,2.50216,1.6894,-1.67333,-263.055,132.091,715.388,-0.163383,0.318181,-1.34531,-270.526,98.6182,828.045,-0.176976,1.5858,0.163532,-206.678,125.107,709.046
